gene	sample20181126-B3-A00289_capture5-wdd-20181122_I4	sample20181126-B3-A00289_capture4-wdd-20181122_I5	sample20181126-B3-A00289_capture5-wdd-20181122_I8	sample20181126-B3-A00289_capture4-wdd-20181122_I7	sample20181126-B3-A00289_capture6-wdd-20181122_I6	sample20181126-B3-A00289_capture6-wdd-20181122_I11	sample20181126-B3-A00289_capture4-wdd-20181122_I6	sample20181126-B3-A00289_capture5-wdd-20181122_I2	sample20181126-B3-A00289_capture6-wdd-20181122_I1	sample20181126-B3-A00289_capture4-wdd-20181122_I10	sample20181126-B3-A00289_capture6-wdd-20181122_I5	sample20181126-B3-A00289_capture6-wdd-20181122_I3	sample20181126-B3-A00289_capture4-wdd-20181122_I9	sample20181126-B3-A00289_capture4-wdd-20181122_I8	sample20181126-B3-A00289_capture5-wdd-20181122_I1	sample20181126-B3-A00289_capture6-wdd-20181122_I9	sample20181126-B3-A00289_capture5-wdd-20181122_I3	sample20181126-B3-A00289_capture5-wdd-20181122_I11	sample20181126-B3-A00289_capture5-wdd-20181122_I6	sample20181126-B3-A00289_capture6-wdd-20181122_I2	sample20181126-B3-A00289_capture5-wdd-20181122_I7	sample20181126-B3-A00289_capture6-wdd-20181122_I10	sample20181126-B3-A00289_capture5-wdd-20181122_I5	sample20181126-B3-A00289_capture6-wdd-20181122_I7	sample20181126-B3-A00289_capture5-wdd-20181122_I10	sample20181126-B3-A00289_capture6-wdd-20181122_I8	sample20181126-B3-A00289_capture5-wdd-20181122_I9	sample20181126-B3-A00289_capture6-wdd-20181122_I4	Median_GCS	cut_off	sample20190412-B2-A00168_capture20190411-2_I1-GCS	sample20190412-B2-A00168_capture20190411-2_I1-CopyRatio	Exon_counts	Filter	CopyNumber
19p	-3.08533211743	0.141473347002	0.346642079519	-2.01907544942	-0.790383641004	0.50071589726	-1.85017309377	1.14816233573	1.31455666866	-1.94658984578	1.62307681684	-0.564561115538	-1.41580895394	0.371835320288	-0.0543786430867	-0.57585893519	0.110524626031	1.52137759982	0.0313529396629	1.11195570661	-0.839585682158	-1.29326874113	-0.149441556072	2.10907529995	0.498319214897	1.54046477539	0.435447190762	1.77947795611	0.125998986517	2.10907529995	12.2626066498	0.45059405309	8	PASS	2.73320572363
19q	-1.39750188841	-0.330656839567	-1.3835975379	-3.85853593682	-0.308654226671	0.260901478468	-1.73801621307	-0.0857379179285	3.38456922258	-5.18546441067	2.32698795933	1.40583252796	-1.23043924622	0.229047786227	3.53612330519	0.974707377337	-0.764506944046	-0.337393037328	-0.449293049079	1.38360256939	0.391066276052	-2.15100010339	-0.479878574351	3.49622002539	-0.967134985697	3.13010857571	-1.51573511471	1.66437892221	-0.319655533119	3.85853593682	30.759552566	0.316268208065	64	PASS	2.49021137711
1p	-20.2317357966	-4.09626487827	0.555591646566	-4.55878431858	3.51623118823	0.561958986632	-2.63328741974	0.595613409264	2.61610227531	-4.82216963205	3.80834701462	2.95762742669	-1.5772875935	-4.23245038771	2.10680751711	2.09165553966	1.38563308862	0.40141565775	1.34080302773	1.87071845526	3.60822207987	2.26465930049	-0.0905567377034	3.09767738871	1.25639094607	3.05601816327	1.03453757337	4.1165260789	1.2985969869	4.82216963205	-7.82977639625	-0.0692660033621	113	PASS	1.9062455856
1q	-3.03891812382	-0.675182586289	-0.714319643049	0.0672326888731	-0.0594338261784	1.15551554312	0.0559436220443	1.13915285601	0.85984253455	-1.682790272	0.301214248945	0.558080526887	-1.14898876106	0.00406113438704	0.841468630587	0.669897018001	-0.276753541685	0.566696707842	-0.39210021178	0.794673385019	-0.521026640093	-0.971562411293	0.488143251278	0.411460426461	0.485625777245	0.939083976101	-0.0970887538714	0.240072443774	0.153652566324	1.682790272	-1.98571015828	-0.0468620802186	24	PASS	1.9360791316
ACVR1	2.49699385298	0.261001026271	-0.497177130479	-0.26823142333	0.537671697197	-0.0204672632618	0.0216162639853	-0.461256810176	-0.787543718931	1.09639943979	-1.20054254673	-0.837947037266	0.688639881636	-0.156410638931	2.24653824947	-0.959943546679	0.974140852467	-0.40329507621	0.405444465113	-0.927219329608	0.362291471687	1.31399934152	0.58120800957	-1.12504806083	-0.284739459184	-0.944564464377	-1.83938220654	-0.272175839146	-0.21232103113	2.24653824947	-12.7705135565	-0.228757002566	9	PASS	1.70673964327
BRAF	5.11399473992	-2.07252375029	-0.594476240315	-2.21540897072	1.11081144297	-0.134237657061	-2.78233242111	-0.5907391922	1.57815303837	-2.96438397257	0.276761389055	1.40702558934	-2.37814824881	-2.05624411747	1.81950906452	1.5794590265	-0.0724101341484	-1.03746814883	-0.58958811878	0.403687833381	0.0547345993356	2.0816897779	1.01913497515	0.121775510357	-0.813569612275	0.992410825832	-0.643309356173	1.38569212811	-0.00883776740641	2.96438397257	13.2067514607	0.411530477672	25	PASS	2.66019218683
CDK4	-4.99767465304	-0.0653937558713	-0.0883266625619	-1.20084210046	0.814630137151	2.91924905307	0.0806981663705	0.682883234043	-0.018600265434	-0.0143359352851	-1.45000016244	-0.546374714472	-0.464470739983	1.26721209756	0.0651430808299	0.644475762911	0.198089113331	1.63833219152	1.61156173326	-1.28472362186	-0.303590802795	0.929857263457	0.093693241757	-0.0491275413108	0.996222580475	0.00855008108966	-0.436803392714	-1.0303333886	-0.00289292709772	2.91924905307	-5.47737981875	-0.0611609520423	7	PASS	1.91698499959
CDK6	-2.10241922293	-1.04189512342	1.2039828907	0.263580489238	1.54603912332	-2.00020505266	-0.349590058877	-1.13021379092	-2.06750436898	0.582376956418	-0.689894860427	0.079032544376	0.967609186229	0.85323907587	2.95047787179	-0.223400493358	0.584277749045	-1.95745489191	2.03584024697	0.167677637589	1.36189712417	1.07904165283	-0.569172144014	-0.290903357811	-0.379673850124	-1.35549474482	-0.223902487324	0.706651899048	-0.0721839744912	2.10241922293	7.28021117369	0.15532692493	9	PASS	2.22734791211
CDKN2A	5.48606941362	0.0172806720909	-0.216797082743	-0.0173201801665	0.115766596607	-0.294102820729	0.707338071775	-1.25435460386	0.201481285089	0.25596066757	-1.24961155943	0.22908513674	0.123195519664	0.813868671281	0.484778295621	-0.492287816884	-0.00440261789045	-1.28833813418	0.26301435323	-0.678664811345	-0.0175738362608	1.33963233744	-0.555267832382	-1.00548935013	-0.983350400621	-1.57703830654	-0.310070581769	-0.092801085802	-0.0174470082136	1.57703830654	-17.0287015757	-1.05320678388	8	PASS	0.963791655977
CTNNB1	2.54761753634	1.05822721327	0.0819284285129	0.773958982608	1.78700736089	-0.829560663701	0.0276414914623	0.019734059635	0.0639117533867	1.94309332847	-3.01165448523	0.38270679683	-0.277733723495	0.107599818086	2.07916370609	-0.730536260017	-0.223163126324	-3.42005980328	-0.831608789779	0.030401583605	-0.360844468608	2.57090786171	0.656013920735	-0.930161348518	-0.778474102217	-1.67295276155	-0.84481748895	-0.218346819964	0.0236877755487	3.01165448523	-9.13755146374	-0.129071665251	13	PASS	1.82883932994
